country,is_eu,hdi,avg_temp_c,cost_index,crowd_index,distance_km
Albania,0,0.81,15.2,42.1,0.0110570914476653,1150
Algeria,0,0.763,22.46666666666667,28.9,0.0024556056089241,1350
Argentina,0,0.865,15.24705882352941,29.4,0.0307859953477485,11200
Armenia,0,0.811,12.4,41.0,0.0015567565807828,2800
Australia,0,0.958,18.63076923076923,70.2,0.0076031808302704,16500
Austria,1,0.93,10.4,65.1,0.062795007961003,600
Azerbaijan,0,0.789,15.1,31.2,0.0033086799180397,3000
Bahrain,0,0.899,26.5,52.3,0.0079402492158234,4300
Bangladesh,0,0.685,25.399999999999995,22.5,0.001340366999934,7300
Barbados,0,0.811,27.0,76.6,0.0040161073938917,7800
Belarus,0,0.824,6.7,26.4,0.0149687492553173,1500
Belgium,1,0.951,10.5,61.1,0.010749152428765,500
Bolivia,0,0.733,16.400000000000002,27.6,0.0013416153505644,10700
Botswana,0,0.731,21.6,30.1,0.0076115035064569,8300
Brazil,0,0.786,21.7125,30.2,0.0264332357022123,9500
Bulgaria,1,0.845,10.6,38.3,0.0206905891335317,1450
Cambodia,0,0.606,28.3,37.3,0.0054309623455956,9300
Cameroon,0,0.588,25.2,37.3,0.0042449809890202,4500
Canada,0,0.939,6.319999999999999,64.8,0.1349484491598097,6500
Chile,0,0.878,14.0,39.1,0.0225964819802387,11800
China,0,0.797,14.175,31.7,0.1265092555067051,7800
Colombia,0,0.788,23.525,28.8,0.0058054827739878,8900
Costa Rica,0,0.833,22.6,52.3,0.0047672289197227,9300
Croatia,1,0.889,13.4,45.5,0.0899144483146925,800
Cuba,0,0.762,25.2,46.7,0.0045154679650813,8200
Cyprus,1,0.913,19.7,54.7,0.0171284837257124,2400
Denmark,1,0.962,9.1,72.3,0.0648923223599994,950
Dominican Republic,0,0.776,25.9,37.9,0.0114316118760575,7800
Ecuador,0,0.777,20.45,32.6,0.0087683554963795,9800
Egypt,0,0.754,20.7,21.0,5.0,2600
El Salvador,0,0.678,23.1,39.5,0.0029383208277407,9700
Estonia,1,0.905,6.4,52.0,0.0070497228638686,1800
Fiji,0,0.731,25.6,35.4,0.0006953595954807,16600
Finland,1,0.948,4.0,63.2,0.0037248137273644,1800
France,1,0.92,13.533333333333331,63.7,0.4873263975578572,500
Georgia,0,0.844,13.45,33.4,0.0062923593308977,2700
Germany,1,0.959,10.45,62.2,0.0518007527186449,500
Ghana,0,0.628,26.766666666666666,30.9,0.0037289750654576,4800
Greece,1,0.908,18.4,52.0,0.0308151247144012,1600
Hungary,1,0.87,11.3,41.7,0.1316651534042379,850
Iceland,1,0.972,4.3,83.0,0.0020269877853197,2600
India,0,0.685,23.5,21.2,0.0745424653982388,6100
Indonesia,0,0.728,26.5875,26.7,0.0168621580877446,11200
Iran,0,0.799,18.333333333333332,26.4,5.0,3500
Iraq,0,0.695,21.135,29.3,0.0037081683749914,3200
Ireland,1,0.949,9.8,64.4,0.0455670682549612,1250
Israel,0,0.919,20.0,62.7,0.0204076181431909,2800
Italy,1,0.915,15.65,56.2,0.1598707030002649,700
Jamaica,0,0.72,27.4,53.9,0.0055295858552152,8400
Japan,0,0.925,15.771428571428572,46.1,0.0171234893072392,9700
Kazakhstan,0,0.837,6.75,31.7,0.0084645778155725,4300
Kenya,0,0.628,25.675,30.2,0.008522836548878,6100
Kuwait,0,0.852,25.7,42.1,0.0089889064153216,3900
Kyrgyzstan,0,0.72,11.3,27.6,5.0,5100
Latvia,1,0.889,6.2,49.1,0.0133291820465781,1600
Lebanon,0,0.752,20.9,41.8,0.0080526053443411,2700
Libya,0,0.721,19.95,20.4,0.0031588717466828,1900
Lithuania,1,0.895,6.0,47.1,0.009500751000791,1500
Luxembourg,1,0.922,9.3,62.4,0.0021809572947698,400
Madagascar,0,0.487,22.46666666666667,24.5,0.0003587073373873,8400
Malaysia,0,0.819,27.3,30.0,0.0180273327538537,9800
Malta,1,0.924,18.8,52.8,0.0029840955467665,1350
Mexico,0,0.789,21.154545454545453,40.2,0.2127571488273387,9700
Moldova,0,0.785,10.2,34.0,0.0001169336005194,1600
Montenegro,0,0.862,15.3,39.4,0.0014568844665449,1100
Morocco,0,0.71,16.775,29.5,0.0116563241330928,1900
Nepal,0,0.622,18.3,25.5,0.000953362557262,6500
Netherlands,1,0.955,10.2,63.1,0.0302283760432534,615
New Zealand,0,0.938,12.75,64.6,0.0041409475366891,18000
Nigeria,0,0.56,26.0,31.4,0.0219056998567598,4600
Norway,1,0.97,5.433333333333334,76.0,0.0058096441120811,1650
Oman,0,0.858,28.0,42.4,0.0036124575988467,4900
Pakistan,0,0.544,25.15,18.8,0.0040161073938917,5700
Panama,0,0.839,28.0,46.4,0.0026886405421459,9400
Paraguay,0,0.756,22.7,25.4,0.0044780159222421,10300
Peru,0,0.794,18.733333333333334,30.0,0.0046527921221584,10400
Philippines,0,0.72,23.95,31.0,0.0061675191881003,10500
Poland,1,0.906,8.65,40.8,0.3683370961195576,1100
Portugal,1,0.89,16.6,45.1,0.0175071654921979,1700
Romania,1,0.845,10.8,37.5,0.020898656038194,1400
Russia,0,0.832,5.684615384615385,31.0,5.0,2200
Saudi Arabia,0,0.9,22.0,45.3,0.0844381273839797,4000
Serbia,0,0.833,12.5,37.7,0.0018522115854033,1050
Singapore,0,0.946,27.0,76.7,0.011406643847498,10300
Slovakia,1,0.88,10.5,46.7,5.0,800
Slovenia,1,0.931,10.9,49.9,0.0050564419172034,480
South Africa,0,0.741,17.75,34.5,0.016169711835409,8500
South Korea,0,0.937,12.5,60.1,5.0,8600
Spain,1,0.918,18.380000000000003,47.3,0.151510574770932,1250
Sri Lanka,0,0.776,27.4,34.6,0.0022433773661685,7800
Sweden,1,0.959,6.6,59.3,0.0081399934442993,1500
Switzerland,1,0.97,9.3,101.1,0.0491749483818062,0
Syria,0,0.564,17.0,24.0,5.0,2600
Tanzania,0,0.555,24.375,23.8,0.0063506180642031,7000
Thailand,0,0.798,27.175,34.1,0.1661002261258554,9200
Tunisia,0,0.746,18.95,28.1,0.0083688670394278,1100
Turkey,0,0.853,12.225,37.4,5.0,1650
Uganda,0,0.582,20.5,29.1,0.001964567713921,5900
Ukraine,0,0.779,8.966666666666667,25.9,0.014069900227176,1700
United Kingdom,0,0.946,10.3,62.0,0.0461912689689482,780
United States,0,0.938,15.430769230769233,70.4,0.1874104385013723,7000
Uruguay,0,0.862,16.7,54.1,0.0144777113603142,11400
Uzbekistan,0,0.74,14.8,26.4,0.028081125587138,4700
Venezuela,0,0.709,22.0,38.3,5.0,8400
Vietnam,0,0.766,23.675,28.7,5.0,8900
Zimbabwe,0,0.598,18.65,37.2,0.0026553498374,7700
